









Frequency of observations in the selected location(s).:
Number of taxa: 	1011

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Cackling Goose	0.0077967	0.0099173	0.0083241	0.0069799	0.0067629	0.0050947	0.0041524	0.0037413	0.0035497	0.0026762	0.0021466	0.0024665	0.0019589	0.0011157	8.396E-4	8.657E-4	7.328E-4	8.268E-4	5.786E-4	6.234E-4	6.357E-4	3.686E-4	3.547E-4	7.26E-4	5.437E-4	8.287E-4	7.284E-4	8.148E-4	0.0011672	0.0013305	0.0015694	0.0011946	0.0011855	0.0010775	0.001094	9.16E-4	9.751E-4	0.001469	0.0014823	0.0028526	0.0039186	0.0050097	0.008176	0.0101539	0.0101142	0.0116855	0.0114263	0.0076578	
Snow x Cackling Goose (hybrid)	2.08E-5	7.98E-5	7.37E-5	5.97E-5	2.77E-5	2.31E-5	1.67E-5	2.65E-5	2.89E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.23E-5	7.68E-5	2.96E-5	0.0	4.06E-5	7.12E-5	6.6E-5	
Ross's x Cackling Goose (hybrid)	0.0	5.32E-5	7.37E-5	3.98E-5	5.54E-5	6.92E-5	1.67E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	2.96E-5	0.0	0.0	3.56E-5	6.6E-5	
Greater White-fronted x Cackling Goose (hybrid)	0.0	0.0	2.46E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.84E-5	2.96E-5	0.0	0.0	3.56E-5	2.2E-5	
Canada Goose	0.0293365	0.0283959	0.0299325	0.0294112	0.0302669	0.029923	0.0330359	0.0277815	0.030129	0.0293839	0.0265677	0.0269649	0.0251398	0.0232095	0.0177558	0.0178715	0.0234695	0.026618	0.0222053	0.0167716	0.0177985	0.0143767	0.0149554	0.0129707	0.017882	0.015618	0.0165541	0.0201901	0.0193513	0.0213487	0.0179609	0.0170599	0.0190674	0.0162134	0.0155644	0.0167544	0.0169665	0.0179708	0.0178828	0.0221596	0.0208873	0.0223982	0.0289421	0.0309651	0.0304684	0.0339203	0.0324636	0.0273083	
Swan Goose (Domestic type) x Canada Goose (hybrid)	0.0	7.98E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.19E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96E-5	0.0	0.0	0.0	0.0	
Greater White-fronted x Canada Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.62E-5	2.97E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Graylag x Canada Goose (hybrid)	2.08E-5	0.0	0.0	1.99E-5	8.32E-5	0.0	0.0	5.31E-5	2.89E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2E-5	
Graylag Goose (Domestic type) x Canada Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.97E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Domestic goose sp. (Domestic type) x Canada Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.62E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
