Row #,Species,Count,Location,S/P,Date,LocID,SubID
183,Horned Lark,6,American Canyon Wetlands,US-CA,08 Feb 2020,L650670,S64256906
184,Purple Martin,9,"805 Washington Street, Natchitoches, Louisiana, US (31.764, -93.086)",US-LA,08 Mar 2020,L11206680,S67543040
185,Tree Swallow,6,Estero Llano Grande SP WBC (LTC 054),US-TX,01 Feb 2020,L259855,S64013058
186,Bushtit,15,Skyline Wilderness Park,US-CA,06 Feb 2020,L631746,S64211239
187,Wrentit,2,Trancas Crossing Park,US-CA,07 Feb 2020,L1288778,S64208071
188,Ruby-crowned Kinglet,1,Lake Livingston SP,US-TX,20 Jan 2020,L457594,S63591104
189,Red-breasted Nuthatch,2,Bodega Bay--Diekman's Store area,US-CA,10 Feb 2020,L744554,S64325259
190,White-breasted Nuthatch,5,Skyline Wilderness Park,US-CA,06 Feb 2020,L631746,S64211239
191,Pygmy Nuthatch,2,"(38.5672,-122.4207)",US-CA,11 Feb 2020,L6027498,S64885554
192,Brown-headed Nuthatch,2,Big Branch Marsh NWR--Boy Scout Rd.,US-LA,21 Mar 2020,L799384,S66048488
193,Brown Creeper,1,Westwood Hills Park,US-CA,07 Feb 2020,L3056282,S64206187
194,Blue-gray Gnatcatcher,3,Aransas NWR--Wildlife Tower (Calhoun Co.),US-TX,24 Jan 2020,L1021344,S63747877
195,House Wren,1,Aransas NWR--Big Tree Trail,US-TX,24 Jan 2020,L2338913,S63747864
196,Pacific Wren,1,Owl Canyon - ONLY (waterbirds from this site OK),US-CA,10 Feb 2020,L598128,S64326154
197,Marsh Wren,14,American Canyon Wetlands,US-CA,08 Feb 2020,L650670,S64256906
198,Carolina Wren,1,Lake Livingston SP,US-TX,20 Jan 2020,L457594,S63591104
199,Bewick's Wren,1,"22688 Buena Vista Boulevard, Los Fresnos, Texas, US (26.232, -97.348)",US-TX,30 Jan 2020,L10652784,S63954853
200,European Starling,100,Rockport Beach Park,US-TX,25 Jan 2020,L338888,S63766209
201,Gray Catbird,3,Aransas NWR--Wildlife Tower (Calhoun Co.),US-TX,24 Jan 2020,L1021344,S63747877
202,Curve-billed Thrasher,2,Hugh Ramsey Park (Harlingen Arroyo Colorado) WBC (LTC 026),US-TX,01 Feb 2020,L273764,S64001060
203,Brown Thrasher,1,"71558 Saint James Street, Abita Springs, Louisiana, US (30.474, -90.032)",US-LA,27 Apr 2020,L11280079,S68069148
204,Long-billed Thrasher,1,Laguna Atascosa NWR--HQ and Kiskadee Trail,US-TX,30 Jan 2020,L288849,S63954875
205,Northern Mockingbird,1,Aransas NWR--Wildlife Tower (Calhoun Co.),US-TX,24 Jan 2020,L1021344,S63747877
206,Eastern Bluebird,2,Webberville Park (Big)(HOTE 035),US-TX,22 Feb 2020,L1119372,S64873546
207,Western Bluebird,6,Skyline Wilderness Park,US-CA,06 Feb 2020,L631746,S64211239
208,Varied Thrush,1,"(38.5605,-122.4143)",US-CA,11 Feb 2020,L6821178,S64885915
209,Hermit Thrush,1,Lake Livingston SP,US-TX,20 Jan 2020,L457594,S63591104
210,Wood Thrush,1,"72011 Holly Street, Abita Springs, Louisiana, US (30.479, -90.04)",US-LA,30 Mar 2020,L11065062,S66531862
211,Clay-colored Thrush,1,Edinburg Scenic Wetlands WBC (LTC 061),US-TX,04 Feb 2020,L249889,S64121589
212,American Robin,6,Westwood Hills Park,US-CA,07 Feb 2020,L3056282,S64206187
213,Cedar Waxwing,2,"38.5639x-122.4107 - Jan 30, 2017, 9:51 AM",US-CA,11 Feb 2020,L5423430,S64885687
214,House Sparrow,8,Hugh Ramsey Park (Harlingen Arroyo Colorado) WBC (LTC 026),US-TX,01 Feb 2020,L273764,S64001060
215,American Pipit,4,Newell Open Space,US-CA,08 Feb 2020,L2963042,S64246465
216,Sprague's Pipit,1,Anzalduas Park (LTC 068),US-TX,03 Feb 2020,L246727,S64090223
217,House Finch,7,"Univ. of Texas, RGV (Brownsville)--Resaca Habitat",US-TX,31 Jan 2020,L278450,S63990217
218,Pine Siskin,1,Trancas Crossing Park,US-CA,07 Feb 2020,L1288778,S64208071
219,Lesser Goldfinch,6,Edinburg Scenic Wetlands WBC (LTC 061),US-TX,04 Feb 2020,L249889,S64121589
